序号,交易对,买入时间,买入价,买入额,卖出时间,卖出价,卖出额,数量,盈亏(USDT),收益率(%),退出原因,持仓周期,是否半仓
1,OMUSDT,2025-01-26 19:00:00,4.5825,450000.0,2025-01-26 19:00:00,4.456683,437644.81,98199.67266776,-12355.1882,-2.7456,阶段低点止损,0,否
2,OMUSDT,2025-01-26 23:00:00,4.4562,444440.17,2025-01-27 01:00:00,4.5368,452478.83,99735.23748997,8038.6601,1.8087,MA5首次上升止损,2,否
3,OMUSDT,2025-01-27 20:00:00,4.5248,448057.56,2025-01-28 00:00:00,4.6279,458266.79,99022.62251736,10209.2324,2.2786,MA5首次上升止损,4,否
4,OMUSDT,2025-01-31 23:00:00,5.2926,452651.72,2025-02-01 02:00:00,5.214825,445999.98,85525.39714663,-6651.7378,-1.4695,阶段低点止损,3,否
5,OMUSDT,2025-02-05 05:00:00,5.8035,449658.43,2025-02-05 05:00:00,5.738535,444624.91,77480.56085894,-5033.5246,-1.1194,阶段低点止损,0,否
6,OMUSDT,2025-02-05 21:00:00,5.7616,447393.35,2025-02-05 23:00:00,5.68656,441566.43,77650.8867083,-5826.9225,-1.3024,阶段低点止损,2,否
7,OMUSDT,2025-02-08 06:00:00,5.9754,444771.23,2025-02-08 09:00:00,5.9867,445612.33,74433.71719319,841.101,0.1891,MA5上升后止损,3,否
8,OMUSDT,2025-02-11 00:00:00,6.084,445149.73,2025-02-11 07:00:00,6.0714,444227.82,73167.27961343,-921.9077,-0.2071,MA5上升后止损,7,否
9,TAOUSDT,2025-02-11 07:00:00,385.8,445031.2,2025-02-11 07:00:00,381.546,440124.09,1153.52824825,-4907.1092,-1.1026,阶段低点止损,0,否
10,COOKIEUSDT,2025-02-11 08:00:00,0.231,442526.67,2025-02-11 08:00:00,0.225225,431463.5,1915699.8769138,-11063.1668,-2.5,阶段低点止损,0,否
11,PROMUSDT,2025-02-11 11:00:00,5.675,437548.25,2025-02-11 11:00:00,5.59944,431722.49,77101.01260123,-5825.7525,-1.3315,阶段低点止损,0,否
12,TFUELUSDT,2025-02-11 12:00:00,0.05261,434926.66,2025-02-11 14:00:00,0.053095,438936.15,8266995.96809524,4009.493,0.9219,MA5首次上升止损,2,否
13,TNSRUSDT,2025-02-11 18:00:00,0.3468,436730.93,2025-02-11 21:00:00,0.342639,431490.91,1259316.40643462,-5240.0156,-1.1998,阶段低点止损,3,否
14,HOOKUSDT,2025-02-11 19:00:00,0.1996,436220.91,2025-02-11 21:00:00,0.197109,430776.89,2185475.48400261,-5444.0194,-1.248,阶段低点止损,2,否
15,THEUSDT,2025-02-11 23:00:00,0.5248,433057.54,2025-02-12 02:00:00,0.516285,426031.08,825185.8658818,-7026.4576,-1.6225,阶段低点止损,3,否
16,IQUSDT,2025-02-11 22:00:00,0.005654,431923.11,2025-02-12 03:00:00,0.00559548,427452.63,76392485.67430247,-4470.4883,-1.035,阶段低点止损,5,否
17,MOVRUSDT,2025-02-12 03:00:00,7.424,426836.12,2025-02-12 06:00:00,7.533,433102.97,57494.08909239,6266.8557,1.4682,MA5首次上升止损,3,否
18,OGUSDT,2025-02-12 07:00:00,3.682,434098.54,2025-02-12 10:00:00,3.7155,438048.1,117897.48403776,3949.5657,0.9098,MA5首次上升止损,3,否
19,TAOUSDT,2025-02-12 11:00:00,403.3,440622.54,2025-02-12 12:00:00,397.881,434702.05,1092.54287679,-5920.4898,-1.3437,阶段低点止损,1,否
